,deterministic,surrogate_2,surrogate_1,surrogate_0
0,206809.43125976884,205796.15108724954,209158.05770287407,208473.42855927648
1,195316.26243607223,194445.8104807835,197643.02592992078,196991.81972621573
2,209582.60849682885,210346.31681745825,210257.00257833384,211295.04783779726
3,209324.59030051745,209372.14789850364,210682.23316308286,211018.18447161556
4,211622.85080953443,211657.3480184089,212965.07479404192,213312.6502262229
5,309087.3426423104,299670.4040097005,312162.5251740267,300620.69483829744
6,205789.7559308022,206645.43992201783,206387.422686694,207508.16942486406
7,217994.31107849476,219171.8853426451,218325.44907656754,219708.50723857916
8,201322.73428352113,199713.80703753224,204190.99910416687,202975.89256547688
9,198841.7718672648,197658.7167980445,201320.75908069737,200508.9435899373
10,212823.2522565879,213972.56825597113,213187.92386899452,214540.09115443414
11,217900.38087806845,218168.1633242265,219031.53127720888,219592.37419605447
12,201319.87984725364,201335.80242490757,202943.1522756852,203009.8754637363
13,220822.11538113782,221819.25840780814,221320.93938750267,222528.92500317172
14,210045.45527085714,210150.6913195404,211356.79438590686,211739.074668032
15,210931.40604876663,211604.20672954348,211711.98598412581,212640.90580141812
16,204412.34398805685,203579.01061103723,206602.1142361974,206077.16243894192
17,209165.23769253833,209447.09932504455,210296.55774311902,210867.60161517403
18,200963.92951431824,200494.83848952528,202769.2223678395,202649.3187765591
19,209193.78788202844,209131.83162835275,210624.843503937,210882.45352219822
20,208186.5241913051,208429.80270936174,209346.91221590544,209884.26253136445
21,208810.06896696673,208282.12024530786,210682.33871223452,210486.11406842488
22,195076.5600763243,194782.50573402428,196796.23269420024,196769.6168996992
23,193617.51277059224,192968.63969514213,195920.85090176383,195291.0957170974
24,217112.85961210824,217213.39214012586,218423.58821499167,218797.33253158856
25,210595.3436335914,211544.74405617552,211217.1568312366,212308.16374453448
26,206809.43125976884,205796.15108724954,209158.05770287407,208473.42855927648
27,212353.84441648575,213199.0841066006,212951.43656214705,214067.82344965063
28,192959.56669252782,191595.10509001045,195589.0174369166,194628.70877323538
29,215418.24399556924,216097.98783801822,216189.16368174396,217120.41898675243
30,204402.24752996888,204823.44164679834,205433.19031957167,206108.03955551548
31,223313.6375144666,224954.2079365324,223190.80545422735,224994.41460267775
32,493230.1296834882,533615.0620067231,474519.4821832115,470117.6566531615
33,218603.3234959986,219867.9298611809,218857.49353959516,220319.98589749957
34,195578.17383854504,194794.5036450266,197724.36328033492,197258.9793988579
35,206312.329568195,206487.4630221103,207549.0409390541,208012.09059690672
36,217659.81306581636,218451.56039704045,218343.23550288327,219360.07231677568
37,206305.0549539116,206929.60696346124,207102.88044353435,208017.6607807121
38,206379.1347940766,207134.8648399973,207115.1155249196,208090.66096587238
39,211558.7104737495,211786.7411094413,212723.3667345546,213255.26880647405
40,224013.8904074315,225589.71541006165,223866.5627940767,225644.90390752733
