,deterministic,surrogate_1,surrogate_0,surrogate_2
0,221556.8559905563,221651.14444086613,220120.42825188543,221187.44967925615
1,346643.8589286748,358204.2002654942,386504.2500196946,344734.71508244314
2,220322.56793663558,220856.89049095215,218780.3880707815,220909.80274188984
3,236354.7005123737,230117.6034677456,237363.07760010377,231710.29804194113
4,210239.3394276905,210464.83103965147,208758.52699294523,210219.65653684636
5,202650.79415624109,203089.68582951423,201098.79837443586,203088.36005856452
6,198966.1779949586,200030.6323638389,197261.63247066824,200809.24814701543
7,216178.73109604773,216104.14788700553,214763.40114824672,215447.07514494003
8,296365.5414483341,294513.62152832793,303015.11647193425,293006.63766692195
9,197290.3188002984,198014.95726120312,195651.6654714334,198390.6586087669
10,251652.81309098605,240507.98255654774,253232.93665133562,242093.42925589246
11,209161.85683775367,209340.32951264552,207683.66042970627,208983.51122349157
12,212816.0387431549,213107.34037432162,211315.56952714454,212902.0601385362
13,216972.95989081752,217261.74835406395,215475.81754192992,217031.52568608389
14,207650.75826461212,208024.06557982147,206110.28535712181,207916.80662523324
15,202603.77738312955,203744.93168692704,200895.6914877048,204588.0445134584
16,214943.97886072006,215298.08248176047,213430.16727003816,215137.57927889723
17,222089.81473066332,221520.3744011233,220811.48160053111,220277.9651062297
18,199133.507382476,199803.23927330144,197505.71621471248,200084.03123870312
19,224328.9743056563,224357.9610482765,228545.74798606755,225981.3665732497
20,223337.14839335385,223475.45696564566,221930.71666275884,223060.25583757763
21,197380.49442004177,198705.85516144097,195603.22795221957,199753.0111891624
22,215608.8195728593,216442.7547792634,213975.8584324827,216852.64388661875
23,196919.41598105288,197699.65912856947,195286.44962373681,198177.04355889856
24,217532.16584894957,217355.1973644736,216160.07386577508,216583.44420378748
25,213803.5641708136,214135.3829950454,212290.6996762039,213962.9751095319
26,217635.39499729685,217726.809300563,216224.8674568921,217289.13586197497
27,213887.8930489179,214087.5197248452,212412.81010506672,213747.3090230596
28,196919.41598105288,197699.65912856947,195286.44962373681,198177.04355889856
29,196384.86678183553,197364.58507047826,194678.32995912732,197987.87696516127
30,211999.84730998322,212278.32107386197,210494.87082701837,212043.24504521818
31,219095.43581056365,219650.62788451987,217601.96671702256,219748.895506996
32,197523.14115330784,198697.5949583633,195786.17122199925,199602.24816009775
33,217764.2964201984,217939.5839937237,216323.00276648838,217557.5259748174
34,209825.01113429831,210113.7272826442,208315.12653145264,209891.60576809163
35,218133.2323920714,218902.05251393642,216524.2336885794,219232.83015043876
36,210370.74298123553,210991.99176165386,208779.92638021085,211169.7576767352
37,213216.1720337965,213342.59031274053,211761.07987100858,212923.11522474454
38,192822.41748944565,193694.66859676913,191148.92429988092,194251.34514566645
39,201767.21411549632,202408.0082241592,200159.26923223943,202623.2810752023
40,213099.55145899876,213026.7893755593,211682.3073143054,212377.451747687
41,217964.726013663,218257.77357916912,216503.68843289107,218019.26085195292
42,227826.9277903512,223746.0223568079,226483.41892685223,222452.8652864958
43,213099.55145899876,213026.7893755593,211682.3073143054,212377.451747687
44,218860.56405101184,218725.4222282532,217488.86244096176,218004.1558456718
45,215135.77502040862,215618.12845974125,213594.8634038014,215624.59612034148
46,219353.74461026027,220040.77828049415,220404.2245643828,223129.6731517894
47,210531.08383477584,211009.25643634974,208976.39359675653,211012.0299420695
48,204467.4311460202,205028.84704570976,202902.9319272313,205198.2568467706
