,demand
2015-01-01 00:00:00,27.22733333
2015-01-01 00:30:00,27.326833330000003
2015-01-01 01:00:00,27.426333330000002
2015-01-01 01:30:00,26.072
2015-01-01 02:00:00,24.71766667
2015-01-01 02:30:00,23.975333335
2015-01-01 03:00:00,23.233
2015-01-01 03:30:00,22.639833335
2015-01-01 04:00:00,22.04666667
2015-01-01 04:30:00,21.716416669999997
2015-01-01 05:00:00,21.386166669999998
2015-01-01 05:30:00,21.21
2015-01-01 06:00:00,21.03383333
2015-01-01 06:30:00,21.564083330000003
2015-01-01 07:00:00,22.09433333
2015-01-01 07:30:00,22.72358333
2015-01-01 08:00:00,23.352833330000003
2015-01-01 08:30:00,24.3905
2015-01-01 09:00:00,25.42816667
2015-01-01 09:30:00,26.4435
2015-01-01 10:00:00,27.45883333
2015-01-01 10:30:00,28.389166665
2015-01-01 11:00:00,29.3195
2015-01-01 11:30:00,30.42425
2015-01-01 12:00:00,31.529
2015-01-01 12:30:00,32.030833335
2015-01-01 13:00:00,32.53266667
2015-01-01 13:30:00,32.52266667
2015-01-01 14:00:00,32.51266667
2015-01-01 14:30:00,32.668
2015-01-01 15:00:00,32.823333330000004
2015-01-01 15:30:00,33.63525
2015-01-01 16:00:00,34.44716667
2015-01-01 16:30:00,35.43183333499999
2015-01-01 17:00:00,36.4165
2015-01-01 17:30:00,36.16975
2015-01-01 18:00:00,35.923
2015-01-01 18:30:00,35.37625
2015-01-01 19:00:00,34.8295
2015-01-01 19:30:00,33.887
2015-01-01 20:00:00,32.9445
2015-01-01 20:30:00,31.788833335
2015-01-01 21:00:00,30.633166669999998
2015-01-01 21:30:00,29.96016667
2015-01-01 22:00:00,29.287166669999998
2015-01-01 22:30:00,28.59466667
2015-01-01 23:00:00,27.90216667
2015-01-01 23:30:00,26.64666667
2015-01-02 00:00:00,25.391166669999997
2015-01-02 00:30:00,25.01166667
2015-01-02 01:00:00,24.63216667
2015-01-02 01:30:00,23.801
2015-01-02 02:00:00,22.96983333
2015-01-02 02:30:00,22.79783333
2015-01-02 03:00:00,22.625833330000003
